State-Reporting,School Type-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,State-Physical,School Level-Standardized,County,City,School ID,School Name,District ID,District Name,School Level-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
IN,,,,,,,Elkhart,,J710,Merit Learning Center,2315,Goshen Community Schools,,N,,N,,,10/1/2017,10,2017,128,61,60,7,,95,12,16,,70,0,49,,,22,17,,Breakfast in the classroom,,,,,,,107,6.294117647,70,3.181818182,IN@J710@2315,,SY17-18,,67,0.5234375,,,,,BIC,,
IN,,,,,,,Marion,,J470,The Renaissance School,5360,MSD of Warren Township,,N,,N,,,10/1/2017,10,2017,204,41,151,12,,694,41,112,,353,15,47,,,11,11,,Breakfast in the classroom,,,,,,,735,66.818181818,368,33.454545455,IN@J470@5360,,SY17-18,,163,0.799019608,,,,,BIC,,
IN,,,,,,,Monroe,,J420,"Project School, The Bloomington",6215,"Project School, Bloomington",,N,,N,,,10/1/2017,10,2017,278,195,61,22,,314,70,302,,115,24,123,,,21,21,,Breakfast in the classroom,,,,,,,384,18.285714286,139,6.619047619,IN@J420@6215,,SY17-18,,83,0.298561151,,,,,BIC,,
IN,,,,,,,Lake,,J290,Education Center,4650,Lake Ridge Schools,,N,,N,,,10/1/2017,10,2017,138,0,138,0,,1712,0,0,,1713,0,0,,,16,16,,Breakfast in the classroom,,,,,,,1712,107,1713,107.0625,IN@J290@4650,,SY17-18,,138,1,,,,,BIC,,
IN,,,,,,,Lake,,J244,Miller Elementary,4710,School City of Hammond,,Y,,N,,,10/1/2017,10,2017,86,10,76,0,,933,0,124,,1002,0,133,,,19,19,,Breakfast in the classroom,,,,,,,933,49.105263158,1002,52.736842105,IN@J244@4710,,SY17-18,,76,0.882686850,,,,,BIC,,
IN,,,,,,,Fayette,,J204,Magic Moments Child Care Center,2395,Fayette County School Corp,,N,,N,,,10/1/2017,10,2017,52,35,16,1,,265,0,312,,69,0,151,,,22,22,,Breakfast in the classroom,,,,,,,265,12.045454545,69,3.136363636,IN@J204@2395,,SY17-18,,17,0.326923077,,,,,BIC,,
IN,,,,,,,Marion,,J060,Wayne Township Preschool,5375,MSD of Wayne Township,,N,,N,,,10/1/2017,10,2017,362,217,139,6,,0,0,0,,874,34,1381,,,22,0,,Breakfast in the classroom,,,,,,,0,,908,41.272727273,IN@J060@5375,,SY17-18,,145,0.400552486,,,,,BIC,,
IN,,,,,,,Bartholomew,,J035,McDowell Education Center,0365,Bartholomew Consolidated Schools,,N,,N,,,10/1/2017,10,2017,133,60,64,9,,467,22,364,,282,21,373,,,17,17,,Breakfast in the classroom,,,,,,,489,28.764705882,303,17.823529412,IN@J035@0365,,SY17-18,,73,0.548872180,,,,,BIC,,
IN,,,,,,,Marion,,5926,Tindley Renaissance Academy,K376,Tindley Accelerated Schools,,N,,N,,,10/1/2017,10,2017,495,118,328,49,,4530,457,553,,5789,540,1206,,,19,18,,Breakfast in the classroom,,,,,,,4987,277.055555556,6329,333.105263158,IN@5926@K376,,SY17-18,,377,0.761616162,,,,,BIC,,
IN,,,,,,,Jackson,,3108,Jackson Co Juvenile Detention Ctr,K350,Jackson County Juvenile Detention Center,,N,,N,,,10/1/2017,10,2017,20,0,20,0,,498,0,0,,508,0,0,,,31,31,,Breakfast in the classroom,,,,,,,498,16.064516129,508,16.387096774,IN@3108@K350,,SY17-18,,20,1,,,,,BIC,,
IN,,,,,,,Grant,,2416,Grant Co Comm Juvenile Center,K079,Grant County Juvenile Detention,,N,,N,,,10/1/2017,10,2017,11,0,11,0,,173,0,0,,168,0,0,,,31,31,,Breakfast in the classroom,,,,,,,173,5.580645161,168,5.419354839,IN@2416@K079,,SY17-18,,11,1,,,,,BIC,,
IN,Public,,2424 California Rd,46514,IN,,Elkhart,Elkhart,1751,Elkhart Area Career Center,2305,Elkhart Community Schools,VO-ED,N,,N,,,10/1/2017,10,2017,123,80,36,7,,35,1,1,,4,0,0,,,19,19,,Breakfast in the classroom,,,,,,,36,1.894736842,4,0.210526316,IN@1751@2305,180327000428,SY17-18,,43,0.349593496,Public,,,,BIC,,
IN,Public,,1200 S Barr St,46802,IN,,Allen,Fort Wayne,0093,Anthis Career Center,0235,Fort Wayne Community Schools,VO-ED,N,,Y,,,10/1/2017,10,2017,205,185,18,2,,18,0,135,,134,8,104,,,21,21,,Breakfast in the classroom,,,,,,,18,0.857142857,142,6.761904762,IN@0093@0235,,SY17-18,,20,0.097560976,Public,,,,BIC,,
IN,Public,,4001 Indianapolis Blvd,46312,IN,Primary,Lake,East Chicago,3937,Carrie Gosch Elementary,4670,School City of East Chicago,PK-PK,Y,,N,,,10/1/2017,10,2017,318,0,318,0,,4780,0,0,,4800,0,0,,,20,20,,Breakfast in the classroom,,,,,,,4780,239,4800,240,IN@3937@4670,180288000365,SY17-18,,318,1,Public,,,,BIC,,
IN,Public,,2367 E 21st Ave,46407,IN,Primary,Lake,Gary,4057,"Bethune, Mary Early CDC",4690,Gary Community School Corporation,PK-PK,Y,,N,,,10/1/2017,10,2017,513,0,513,0,,6652,0,0,,6653,0,0,,,21,21,,Breakfast in the classroom,,,,,,,6652,316.761904762,6653,316.809523810,IN@4057@4690,180387000640,SY17-18,,513,1,Public,,,,BIC,,
IN,Public,,2300 Cason St,47904,IN,Primary,Tippecanoe,Lafayette,8125,Wabash Learning Center,7855,Lafayette School Corporation,PK-PK,N,,N,,,10/1/2017,10,2017,35,4,28,3,,194,32,10,,182,30,0,,,17,17,,Breakfast in the classroom,,,,,,,226,13.294117647,212,12.470588235,IN@8125@7855,180540000966,SY17-18,,31,0.885714286,Public,,,,BIC,,
IN,Public,,8045 W SR 46,47429,IN,Primary,Monroe,Ellettsville,6144,EECC Kindergarten,5705,Richland Bean Blossom Community School Corporation,PK-PK,N,,N,,,10/1/2017,10,2017,115,85,21,9,,20,13,59,,64,25,26,,,17,17,,Breakfast in the classroom,,,,,,,33,1.941176471,89,5.235294118,IN@6144@5705,180948000261,SY17-18,,30,0.260869565,Public,,,,BIC,,
IN,Public,,1401 N Mitthoeffer,46229,IN,Primary,Marion,Indianapolis,5395,Warren Early Childhood Center,5360,MSD of Warren Township,PK-PK,N,,N,,,10/1/2017,10,2017,325,119,169,37,,1081,154,527,,1158,260,695,,,11,11,,Breakfast in the classroom,,,,,,,1235,112.272727273,1418,128.909090909,IN@5395@5360,181236000726,SY17-18,,206,0.633846154,Public,,,,BIC,,
IN,Public,,1111 Greene St,46803,IN,Primary,Allen,Fort Wayne,0151,Bunche Early Childhood Center,0235,Fort Wayne Community Schools,PK-KG,Y,,N,,,10/1/2017,10,2017,240,66,174,0,,1187,0,452,,2115,0,805,,,21,21,,Breakfast in the classroom,,,,,,,1187,56.523809524,2115,100.714285714,IN@0151@0235,180363000519,SY17-18,,174,0.724222087,Public,,,,BIC,,
IN,Public,,1026 E Pontiac St,46803,IN,Primary,Allen,Fort Wayne,0241,Whitney M Young Early Childhood,0235,Fort Wayne Community Schools,PK-KG,Y,,N,,,10/1/2017,10,2017,245,68,177,0,,2406,0,916,,1632,0,621,,,21,21,,Breakfast in the classroom,,,,,,,2406,114.571428571,1632,77.714285714,IN@0241@0235,180363001541,SY17-18,,177,0.724262492,Public,,,,BIC,,
IN,Public,,12150 S SR 58,47201,IN,Primary,Bartholomew,Columbus,0353,Mt. Healthy Elementary School,0365,Bartholomew Consolidated Schools,PK-06,N,,N,,,10/1/2017,10,2017,471,252,187,32,,2693,412,2806,,1969,325,1121,,,17,17,,Breakfast in the classroom,,,,,,,3105,182.647058824,2294,134.941176471,IN@0353@0365,180036000075,SY17-18,,219,0.464968153,Public,,,,BIC,,
IN,Public,,13000 E 200 S,47201,IN,Primary,Bartholomew,Columbus,0366,Rockcreek Elementary School,0365,Bartholomew Consolidated Schools,PK-06,N,,N,,,10/1/2017,10,2017,374,222,114,38,,1644,513,2052,,1222,392,1115,,,17,17,,Breakfast in the classroom,,,,,,,2157,126.882352941,1614,94.941176471,IN@0366@0365,180036000079,SY17-18,,152,0.406417112,Public,,,,BIC,,
IN,Public,,1320 W 200 S,47201,IN,Primary,Bartholomew,Columbus,0392,Southside Elementary School,0365,Bartholomew Consolidated Schools,PK-06,N,,N,,,10/1/2017,10,2017,905,681,178,46,,2379,604,4747,,1280,422,1181,,,17,17,,Breakfast in the classroom,,,,,,,2983,175.470588235,1702,100.117647059,IN@0392@0365,180036000080,SY17-18,,224,0.247513812,Public,,,,BIC,,
IN,Public,,PO Box 277,47280,IN,Primary,Bartholomew,Taylorsville,0377,Taylorsville Elementary School,0365,Bartholomew Consolidated Schools,PK-06,N,,N,,,10/1/2017,10,2017,599,147,383,69,,5648,983,1164,,3964,607,537,,,17,17,,Breakfast in the classroom,,,,,,,6631,390.058823529,4571,268.882352941,IN@0377@0365,180036000081,SY17-18,,452,0.754590985,Public,,,,BIC,,
IN,Public,,4625 E 50 N,47203,IN,Primary,Bartholomew,Columbus,0328,Clifty Creek Elementary School,0365,Bartholomew Consolidated Schools,PK-06,N,,N,,,10/1/2017,10,2017,515,88,398,29,,5842,318,828,,4654,276,709,,,17,17,,Breakfast in the classroom,,,,,,,6160,362.352941176,4930,290,IN@0328@0365,180036002188,SY17-18,,427,0.829126214,Public,,,,BIC,,
IN,Public,,2775 Illinois St,47201,IN,Primary,Bartholomew,Columbus,0375,CSA Fodrea,0365,Bartholomew Consolidated Schools,PK-06,N,,N,,,10/1/2017,10,2017,383,222,134,27,,1848,350,1641,,1417,334,920,,,17,17,,Breakfast in the classroom,,,,,,,2198,129.294117647,1751,103,IN@0375@0365,180036002492,SY17-18,,161,0.420365535,Public,,,,BIC,,
IN,Public,,1027 McPherson St,46514,IN,Primary,Elkhart,Elkhart,1765,Beardsley Elementary School,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,461,61,369,31,,6052,428,648,,5154,341,453,,,19,19,,Breakfast in the classroom,,,,,,,6480,341.052631579,5495,289.210526316,IN@1765@2305,180327000423,SY17-18,,400,0.867678959,Public,,,,BIC,,
IN,Public,,705 Indiana Ave,46507,IN,Primary,Elkhart,Bristol,1693,Bristol Elem. School,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,444,163,236,45,,3459,537,1203,,2411,323,541,,,19,19,,Breakfast in the classroom,,,,,,,3996,210.315789474,2734,143.894736842,IN@1693@2305,180327000424,SY17-18,,281,0.632882883,Public,,,,BIC,,
IN,Public,,501 W Lusher Ave,46517,IN,Primary,Elkhart,Elkhart,1777,Hawthorne Elem. School,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,581,52,471,58,,7571,680,467,,6864,854,854,,,19,19,,Breakfast in the classroom,,,,,,,8251,434.263157895,7718,406.210526316,IN@1777@2305,180327000431,SY17-18,,529,0.910499139,Public,,,,BIC,,
IN,Public,,818 McDonald St,46516,IN,Primary,Elkhart,Elkhart,1769,Mary Beck Elementary School,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,410,109,278,23,,3364,211,101,,3001,171,85,,,19,19,,Breakfast in the classroom,,,,,,,3575,188.157894737,3172,166.947368421,IN@1769@2305,180327000434,SY17-18,,301,0.734146341,Public,,,,BIC,,
IN,Public,,26665 CR 4 W,46514,IN,Primary,Elkhart,Elkhart,1681,Mary Feeser Elem. School,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,610,270,289,51,,3912,588,1539,,2539,348,619,,,19,19,,Breakfast in the classroom,,,,,,,4500,236.842105263,2887,151.947368421,IN@1681@2305,180327000435,SY17-18,,340,0.557377049,Public,,,,BIC,,
IN,Public,,1735 Strong Ave,46514,IN,Primary,Elkhart,Elkhart,1773,Mary Daly Elem. School,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,562,128,365,69,,5856,835,897,,5109,709,688,,,19,19,,Breakfast in the classroom,,,,,,,6691,352.157894737,5818,306.210526316,IN@1773@2305,180327000436,SY17-18,,434,0.772241993,Public,,,,BIC,,
IN,Public,,1100 E Hively Ave,46517,IN,Primary,Elkhart,Elkhart,1789,Monger Elem. School,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,445,60,320,65,,5174,883,575,,4262,778,792,,,19,19,,Breakfast in the classroom,,,,,,,6057,318.789473684,5040,265.263157895,IN@1789@2305,180327000437,SY17-18,,385,0.865168539,Public,,,,BIC,,
IN,Public,,24975 CR 6 E,46514,IN,Primary,Elkhart,Elkhart,1673,Osolo Elem.School,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,530,141,319,70,,4723,832,1200,,2854,400,412,,,19,19,,Breakfast in the classroom,,,,,,,5555,292.368421053,3254,171.263157895,IN@1673@2305,180327000439,SY17-18,,389,0.733962264,Public,,,,BIC,,
IN,Public,,2509 Wood St,46516,IN,Primary,Elkhart,Elkhart,1797,Riverview Elementary School,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,471,145,260,66,,4538,627,516,,2753,368,285,,,19,19,,Breakfast in the classroom,,,,,,,5165,271.842105263,3121,164.263157895,IN@1797@2305,180327000443,SY17-18,,326,0.692144374,Public,,,,BIC,,
IN,Public,,201 W Wolf Ave,46516,IN,Primary,Elkhart,Elkhart,1801,Roosevelt STEAM Academy,2305,Elkhart Community Schools,PK-06,N,,N,,,10/1/2017,10,2017,598,64,487,47,,7979,607,569,,6768,451,293,,,19,19,,Breakfast in the classroom,,,,,,,8586,451.894736842,7219,379.947368421,IN@1801@2305,180327000444,SY17-18,,534,0.892976589,Public,,,,BIC,,
IN,Public,,1220 CR 3,46514,IN,Primary,Elkhart,Elkhart,1817,Woodland Elem. School,2305,Elkhart Community Schools,PK-06,Y,,N,,,10/1/2017,10,2017,462,0,462,0,,7422,0,0,,6691,0,0,,,19,19,,Breakfast in the classroom,,,,,,,7422,390.631578947,6691,352.157894737,IN@1817@2305,180327000447,SY17-18,,462,1,Public,,,,BIC,,
IN,Public,,401 S Fountain St,47331,IN,Primary,Fayette,Connersville,1897,Eastview Elementary School,2395,Fayette County School Corp,PK-06,N,,N,,,10/1/2017,10,2017,371,145,212,14,,2176,133,630,,2223,192,1746,,,16,16,,Breakfast in the classroom,,,,,,,2309,144.3125,2415,150.9375,IN@1897@2395,180351000499,SY17-18,,226,0.609164420,Public,,,,BIC,,
IN,Public,,2928 N CR 225 W,47331,IN,Primary,Fayette,Connersville,1921,Fayette Central Elementary School,2395,Fayette County School Corp,PK-06,N,,N,,,10/1/2017,10,2017,308,120,162,26,,1802,263,863,,1670,282,1475,,,16,16,,Breakfast in the classroom,,,,,,,2065,129.0625,1952,122,IN@1921@2395,180351000501,SY17-18,,188,0.610389610,Public,,,,BIC,,
IN,Public,,600 W 3rd St,47331,IN,Primary,Fayette,Connersville,1909,Frazee Elementary School,2395,Fayette County School Corp,PK-06,N,,N,,,10/1/2017,10,2017,341,102,205,34,,1898,364,533,,1778,299,736,,,16,16,,Breakfast in the classroom,,,,,,,2262,141.375,2077,129.8125,IN@1909@2395,180351000503,SY17-18,,239,0.700879765,Public,,,,BIC,,
IN,Public,,1800 Eastern Ave,47331,IN,Primary,Fayette,Connersville,1917,Maplewood Elementary School,2395,Fayette County School Corp,PK-06,N,,N,,,10/1/2017,10,2017,400,82,285,33,,3205,371,464,,2939,429,616,,,16,16,,Breakfast in the classroom,,,,,,,3576,223.5,3368,210.5,IN@1917@2395,180351000505,SY17-18,,318,0.795,Public,,,,BIC,,
IN,Public,,500 E Mahalasville Rd,46151,IN,Primary,Morgan,Martinsville,6344,South Elementary School,5925,MSD of Martinsville,PK-06,N,,N,,,10/1/2017,10,2017,289,119,142,28,,1816,277,798,,1177,251,738,,,16,16,,Breakfast in the classroom,,,,,,,2093,130.8125,1428,89.25,IN@6344@5925,180651002355,SY17-18,,170,0.588235294,Public,,,,BIC,,
IN,Public,,151 Hillside Ave,47460,IN,Primary,Owen,Spencer,6617,Spencer Elementary School,6195,Spencer-Owen Comm Schools,PK-06,N,,N,,,10/1/2017,10,2017,703,322,319,62,,3891,616,1821,,3450,660,3160,,,17,17,,Breakfast in the classroom,,,,,,,4507,265.117647059,4110,241.764705882,IN@6617@6195,181095001794,SY17-18,,381,0.541963016,Public,,,,BIC,,
IN,Public,,6950 W 34th St,46214,IN,Primary,Marion,Indianapolis,5267,North Wayne Elementary School,5375,MSD of Wayne Township,PK-06,Y,,N,,,10/1/2017,10,2017,822,77,745,0,,8015,0,833,,7101,0,738,,,12,12,,Breakfast in the classroom,,,,,,,8015,667.916666667,7101,591.75,IN@5267@5375,181281000238,SY17-18,,745,0.905854430,Public,,,,BIC,,
IN,Public,,701 Lansdowne Rd,46234,IN,Primary,Marion,Indianapolis,5227,Chapel Glen Elementary,5375,MSD of Wayne Township,PK-06,Y,,N,,,10/1/2017,10,2017,830,78,752,0,,7813,0,812,,7199,0,748,,,12,12,,Breakfast in the classroom,,,,,,,7813,651.083333333,7199,599.916666667,IN@5227@5375,181281002030,SY17-18,,752,0.905855072,Public,,,,BIC,,
IN,Public,,1129 N Girls Sch Rd,46214,IN,Primary,Marion,Indianapolis,5274,Chapelwood Elementary,5375,MSD of Wayne Township,PK-06,Y,,N,,,10/1/2017,10,2017,825,78,747,0,,8039,0,835,,7231,0,751,,,12,12,,Breakfast in the classroom,,,,,,,8039,669.916666667,7231,602.583333333,IN@5274@5375,181281002031,SY17-18,,747,0.905904891,Public,,,,BIC,,
IN,Public,,4901 Rockville Rd,46224,IN,Primary,Marion,Indianapolis,5241,Garden City Elementary,5375,MSD of Wayne Township,PK-06,Y,,N,,,10/1/2017,10,2017,801,75,726,0,,8075,0,839,,7053,0,733,,,12,12,,Breakfast in the classroom,,,,,,,8075,672.916666667,7053,587.75,IN@5241@5375,181281002033,SY17-18,,726,0.905878394,Public,,,,BIC,,
IN,Public,,1643 Dunlap Ave,46241,IN,Primary,Marion,Indianapolis,5223,Maplewood Elementary School,5375,MSD of Wayne Township,PK-06,Y,,N,,,10/1/2017,10,2017,819,77,742,0,,7960,0,827,,6457,0,671,,,12,12,,Breakfast in the classroom,,,,,,,7960,663.333333333,6457,538.083333333,IN@5223@5375,181281002034,SY17-18,,742,0.905883692,Public,,,,BIC,,
IN,Public,,6740 W Morris,46241,IN,Primary,Marion,Indianapolis,5257,McClelland Elementary,5375,MSD of Wayne Township,PK-06,Y,,N,,,10/1/2017,10,2017,805,76,729,0,,7649,0,794,,7353,0,764,,,12,12,,Breakfast in the classroom,,,,,,,7649,637.416666667,7353,612.75,IN@5257@5375,181281002035,SY17-18,,729,0.905957598,Public,,,,BIC,,
IN,Public,,502 S Auburn St,46241,IN,Primary,Marion,Indianapolis,5261,Rhoades Elementary,5375,MSD of Wayne Township,PK-06,Y,,N,,,10/1/2017,10,2017,808,76,732,0,,7579,0,787,,6592,0,685,,,12,12,,Breakfast in the classroom,,,,,,,7579,631.583333333,6592,549.333333333,IN@5261@5375,181281002036,SY17-18,,732,0.905928759,Public,,,,BIC,,
IN,Public,,8700 W 30th,46234,IN,Primary,Marion,Indianapolis,5265,Robey Elementary,5375,MSD of Wayne Township,PK-06,N,,N,,,10/1/2017,10,2017,730,347,282,101,,2962,978,2641,,2218,798,2673,,,12,12,,Breakfast in the classroom,,,,,,,3940,328.333333333,3016,251.333333333,IN@5265@5375,181281002037,SY17-18,,383,0.524657534,Public,,,,BIC,,
IN,Public,,3820 W Bradbury,46241,IN,Primary,Marion,Indianapolis,5270,Stout Field Elementary,5375,MSD of Wayne Township,PK-06,Y,,N,,,10/1/2017,10,2017,812,76,736,0,,8083,0,840,,7187,0,746,,,12,12,,Breakfast in the classroom,,,,,,,8083,673.583333333,7187,598.916666667,IN@5270@5375,181281002040,SY17-18,,736,0.905861257,Public,,,,BIC,,
IN,Public,,271 N Sigsbee St,46214,IN,Primary,Marion,Indianapolis,5273,Westlake Elementary,5375,MSD of Wayne Township,PK-06,Y,,N,,,10/1/2017,10,2017,817,77,740,0,,7823,0,813,,7170,0,745,,,12,12,,Breakfast in the classroom,,,,,,,7823,651.916666667,7170,597.5,IN@5273@5375,181281002042,SY17-18,,740,0.905859194,Public,,,,BIC,,
IN,Public,,9035 W Morris St,46231,IN,Primary,Marion,Indianapolis,5446,Bridgeport Elementary School,5375,MSD of Wayne Township,PK-06,N,,N,,,10/1/2017,10,2017,770,201,450,119,,4733,1258,1662,,4698,1270,2097,,,12,12,,Breakfast in the classroom,,,,,,,5991,499.25,5968,497.333333333,IN@5446@5375,181281002123,SY17-18,,569,0.738961039,Public,,,,BIC,,
IN,Nonpublic,,2025 Hillcrest Dr,46012,IN,Primary,Madison,Anderson,C226,Liberty Christian Elementary,K401,Liberty Christian School,PK-06,N,,N,,,10/1/2017,10,2017,279,141,108,30,,572,58,891,,1185,316,2184,,,18,18,,Breakfast in the classroom,,,,,,,630,35,1501,83.388888889,IN@C226@K401,,SY17-18,,138,0.494623656,,,,,BIC,,
IN,Public,,901 Eckhart Ave,46706,IN,Primary,DeKalb,Auburn,1351,J. R. Watson Elementary School,1835,DeKalb Co Central United Schools,PK-05,N,,N,,,10/1/2017,10,2017,622,345,209,68,,2956,913,3045,,2051,662,1011,,,17,17,,Breakfast in the classroom,,,,,,,3869,227.588235294,2713,159.588235294,IN@1351@1835,180159000222,SY17-18,,277,0.445337621,Public,,,,BIC,,
IN,Public,,3000 New Haven Ave,46803,IN,Primary,Allen,Fort Wayne,0141,Adams Elementary,0235,Fort Wayne Community Schools,PK-05,Y,,N,,,10/1/2017,10,2017,268,14,254,0,,4658,0,251,,4004,0,216,,,21,21,,Breakfast in the classroom,,,,,,,4658,221.809523810,4004,190.666666667,IN@0141@0235,180363000511,SY17-18,,254,0.948869424,Public,,,,BIC,,
