IRN,ORGANIZATION NAME,SCHOOL TYPE,GRADE SPAN,ORGANIZATION TYPE,ORGANIZATION CATEGORY,STATUS,DESIGNATED COUNTY,WEB URL,ORG EMAIL ADDRESS,ORG MAILING ADDRESS,ORG PHONE,ORG FAX,SUPERINTENDENT,SUPERINTENDENT EMAIL,SUPERINTENDENT PHONE,TREASURER,TREASURER EMAIL,TREASURER PHONE,PRINCIPAL,PRINCIPAL EMAIL,PRINCIPAL PHONE,PARENT IRN,PARENT ORGANIZATION NAME
000455,West Elementary,Elementary School,"K-5,P",Public School,School,Open,Vinton,N/A,N/A,"57710 US Highway 50, Mc Arthur, Ohio, 45651",(740) 596-5236,(740) 596-5237,N/A,N/A,N/A,N/A,N/A,N/A,Mary Ann Hale,maryann.hale@vc-k12.us,(740) 596-5236,050393,Vinton County Local
000463,Alliance High School,High School,9-12,Public School,School,Open,Stark,N/A,N/A,"400 Glamorgan St, Alliance, Ohio, 44601",(330) 829-2245,(330) 823-4920,N/A,N/A,N/A,N/A,N/A,N/A,Shawn Jackson,jacksonsh@alliancecityschools.org,(330) 829-2245,043497,Alliance City
000471,Sharpsburg Primary ,Elementary School,"K-2,P",Public School,School,Open,Hamilton,http://www.norwoodschools.org,N/A,"4321 Forest Ave, Norwood, Ohio, 45212",(513) 924-2650,(513) 396-5512,N/A,N/A,N/A,N/A,N/A,N/A,Joseph Westendorf,westendorfjoe@gmail.com,(513) 410-1430,044578,Norwood City 
000489,Almira,Elementary School,K-8,Public School,School,Open,Cuyahoga,N/A,N/A,"3375 W 99th St, Cleveland, Ohio, 44102",(216) 838-6150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,James Greene,greenejim@yahoo.com,(440) 339-9520,043786,Cleveland Municipal
000497,Alpine Elementary School,Elementary School,K-3,Public School,School,Open,Franklin,N/A,N/A,"1590 Alpine Dr, Columbus, Ohio, 43229",(614) 365-5359,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rhonda Peeples,rpeeples6505@columbus.k12.oh.us,(614) 365-5931,043802,Columbus City School District
000505,Alton Hall Elementary School,Elementary School,K-4,Public School,School,Open,Franklin,N/A,N/A,"982 Alton Rd, Galloway, Ohio, 43119",(614) 801-8000,(614) 801-8003,N/A,N/A,N/A,N/A,N/A,N/A,Jamie Clark,jamie.clark@swcsd.us,(614) 801-8000,044800,South-Western City
000513,Columbus Scioto 6-12,High School,6-12,Public School,School,Open,Franklin,N/A,N/A,"2951 S High St, Columbus, Ohio, 43207",(614) 365-5030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michelle Milner,mmilner10209@columbus.k12.oh.us,(614) 801-1396,043802,Columbus City School District
000539,Amanda-Clearcreek Elementary School,Elementary School,3-5,Public School,School,Open,Fairfield,http://www.amanda.k12.oh.us,N/A,"328 E Main St, Amanda, Ohio, 43102",(740) 969-7253,(740) 969-7730,N/A,N/A,N/A,N/A,N/A,N/A,Theresa Pinkstock,tpinkstock@amanda.k12.oh.us,(740) 475-8272,046847,Amanda-Clearcreek Local
000547,Amanda Elementary School,Elementary School,"K-5,P",Public School,School,Open,Butler,http://www.middletowncityschools.com,N/A,"1300 Oxford State Rd, Middletown, Ohio, 45044",(513) 420-4542,(513) 420-4632,N/A,N/A,N/A,N/A,N/A,N/A,Beth Hendricks,bhendricks@middletowncityschools.com,(513) 868-5630,044404,Middletown City
000562,Amanda-Clearcreek High School,High School,9-12,Public School,School,Open,Fairfield,N/A,N/A,"328 E Main St, Amanda, Ohio, 43102",(740) 969-7251,(740) 969-7669,N/A,N/A,N/A,N/A,N/A,N/A,Kimberly Miller,millerki_10@yahoo.com,(740) 694-2726,046847,Amanda-Clearcreek Local
000596,Amelia Elementary School,Elementary School,K-5,Public School,School,Open,Clermont,N/A,N/A,"5 E Main St, Amelia, Ohio, 45102",(513) 943-3800,(513) 943-3642,N/A,N/A,N/A,N/A,N/A,N/A,Jeffrey Riel,jdriel@mac.com,(513) 316-0127,046359,West Clermont Local
000612,West Clermont Middle School,Middle School,6-8,Public School,School,Open,Clermont,N/A,N/A,"1351 Clough Pike, Batavia, Ohio, 45103",(513) 947-7500,(513) 753-7851,N/A,N/A,N/A,N/A,N/A,N/A,Lori Crowe,crowe_l@westcler.org,(513) 429-8641,046359,West Clermont Local
000620,Amesville Elementary School,Elementary School,K-6,Public School,School,Open,Athens,N/A,N/A,"St. Rte. 329, Amesville, Ohio, 45711",(740) 448-2501,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Catherine Blower,cblower@fhlancers.com,(740) 448-7219,045914,Federal Hocking Local
000638,Amherst Elementary School,Elementary School,K-5,Public School,School,Open,Stark,N/A,N/A,"8750 Jane St NW, Massillon, Ohio, 44646",(330) 830-8024,(330) 830-8071,N/A,N/A,N/A,N/A,N/A,N/A,William Hayden,wph2jc@bearworks.jackson.sparcc.org,(330) 830-8024,049858,Jackson Local
000653,Amity Elementary School,Elementary School,3-6,Public School,School,Open,Hamilton,N/A,N/A,"4320 E Galbraith Rd, Cincinnati, Ohio, 45236",(513) 891-5995,(513) 891-3508,N/A,N/A,N/A,N/A,N/A,N/A,Mark Smiley,smiley.m@dpccsd.org,(513) 295-7732,043851,Deer Park Community City
000687,Anderson High School,High School,9-12,Public School,School,Open,Hamilton,N/A,N/A,"7560 Forest Rd, Cincinnati, Ohio, 45255",(513) 232-2772,(513) 232-3146,N/A,N/A,N/A,N/A,N/A,N/A,Michael Overbey,overbey_m@westcler.org,N/A,047340,Forest Hills Local
000711,Pymatuning Valley Primary Elementary School,Elementary School,K-4,Public School,School,Open,Ashtabula,N/A,N/A,"5571 State Route 6, Andover, Ohio, 44003",(440) 293-6206,(440) 293-5152,N/A,N/A,N/A,N/A,N/A,N/A,Billie Fusco,billie.williams@pvschools.org,(440) 344-0030,045880,Pymatuning Valley Local
000729,Andrew J Rickoff ,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,N/A,N/A,"3500 E 147th St, Cleveland, Ohio, 44120",(216) 838-4150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SHELBY SCHUTT,shelbyschutt1982@gmail.com,(330) 344-0821,043786,Cleveland Municipal
000737,Massillon Junior High School,Junior High School,7-8,Public School,School,Open,Stark,N/A,vlindsey@massillonschools.org,"250 29th St NW, Massillon, Ohio, 44647",(330) 830-3902,(330) 830-3952,N/A,N/A,N/A,N/A,N/A,N/A,Vincent Lindsey,vlindsey@massillonschools.org,(330) 412-4009,044354,Massillon City
000745,Anna Elementary School,Elementary School,K-5,Public School,School,Open,Shelby,N/A,N/A,"607 N Pike St, Anna, Ohio, 45302",(937) 394-2011,(937) 394-3119,N/A,N/A,N/A,N/A,N/A,N/A,John Holtzapple,jholtzapple@annaschools.org,(937) 538-1581,049759,Anna Local
000752,Anna High School,High School,9-12,Public School,School,Open,Shelby,N/A,www.anna.k12.oh.us,"1 McRill Way, Anna, Ohio, 45302",(937) 394-2011,(937) 394-7658,N/A,N/A,N/A,N/A,N/A,N/A,Richard Russell,rrussell@anna.k12.oh.us,(937) 394-2011,049759,Anna Local
000760,Ansonia Elementary School,Elementary School,K-6,Public School,School,Open,Darke,N/A,N/A,"600 E Canal St, Ansonia, Ohio, 45303",(937) 337-5141,(937) 337-9520,N/A,N/A,N/A,N/A,N/A,N/A,Krista Stump,krista.stump@ansoniaschools.org,(937) 337-5141,046623,Ansonia Local
000778,Ansonia High School,High School,9-12,Public School,School,Open,Darke,N/A,N/A,"600 E Canal St, Ansonia, Ohio, 45303",(937) 337-5591,(937) 337-9520,N/A,N/A,N/A,N/A,N/A,N/A,Stephen Garman,anhssgarman@mdeca.org,(937) 337-5591,046623,Ansonia Local
000802,Anthony Wayne Elementary School,Elementary School,1-6,Public School,School,Open,Warren,N/A,N/A,"16 Farm Ave, Franklin, Ohio, 45005",(937) 743-8640,(937) 743-8642,N/A,N/A,N/A,N/A,N/A,N/A,James Rhoades,jrhoades@franklincityschools.com,(937) 427-0020,044008,Franklin City
000810,Anthony Wayne High School,High School,9-12,Public School,School,Open,Lucas,N/A,N/A,"5967 Finzel Rd, Whitehouse, Ohio, 43571",(419) 877-0466,(419) 877-5028,N/A,N/A,N/A,N/A,N/A,N/A,Kevin Pfefferle,kpfefferle@anthonywayneschools.org,(419) 877-0466,048207,Anthony Wayne Local
000828,Anton Grdina ,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,N/A,N/A,"2955 E 71st St, Cleveland, Ohio, 44104",(216) 838-1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Harold Booker,harold.booker@clevelandmetroschools.org,(440) 317-2385,043786,Cleveland Municipal
000836,Antwerp Local Elementary School,Elementary School,K-5,Public School,School,Open,Paulding,N/A,N/A,"303 S. Harrmann Rd, Antwerp, Ohio, 45813",(419) 258-5421,(419) 258-4041,N/A,N/A,N/A,N/A,N/A,N/A,Amy Hammer,hammer_a@antwerpschools.org,(419) 258-5421,048991,Antwerp Local
000844,Antwerp Local High School,High School,9-12,Public School,School,Open,Paulding,N/A,N/A,"303 S. Harrmann Rd, Antwerp, Ohio, 45813",(419) 258-5421,(419) 258-4041,N/A,N/A,N/A,N/A,N/A,N/A,Travis Lichty,lichty_t@antwerpschools.org,(419) 258-5421,048991,Antwerp Local
000851,Apple Creek Elementary School,Elementary School,"K-6,P",Public School,School,Open,Wayne,N/A,N/A,"173 W Main St, Apple Creek, Ohio, 44606",(330) 698-3111,(330) 698-2922,N/A,N/A,N/A,N/A,N/A,N/A,Matthias Karolewski,soea_mkarolewski@tccsa.net,(330) 209-7044,050583,Southeast Local
000877,Applewood Elementary School,Elementary School,K-5,Public School,School,Open,Medina,N/A,N/A,"3891 Applewood Dr, Brunswick, Ohio, 44212",(330) 273-0481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Amren Fowler,afowler@bcsoh.org,(440) 243-4054,043661,Brunswick City
000885,Arcadia Elementary School,Elementary School,K-6,Public School,School,Open,Hancock,N/A,N/A,"19033 State Route 12, Arcadia, Ohio, 44804",(419) 894-6431,(419) 894-6970,N/A,N/A,N/A,N/A,N/A,N/A,David Golden,dagolden@tds.net,(419) 894-6431,047415,Arcadia Local
000893,Arcadia High School,High School,9-12,Public School,School,Open,Hancock,N/A,N/A,"19033 State Route 12, Arcadia, Ohio, 44804",(419) 894-6431,(419) 894-6970,N/A,N/A,N/A,N/A,N/A,N/A,Billy Dobbins,dobbinsb@arcadia.noacsc.org,N/A,047415,Arcadia Local
000901,Arcanum Elementary School,Elementary School,K-4,Public School,School,Open,Darke,N/A,jason_clark@darke.k12.oh.us,"2011 Trojan Ave, Arcanum, Ohio, 45304",(937) 692-5174,(937) 692-8865,N/A,N/A,N/A,N/A,N/A,N/A,Joni Pechie,joni_pechie@arcanum-butler.k12.oh.us,(937) 459-2503,046631,Arcanum-Butler Local 
000919,Arcanum High School,High School,9-12,Public School,School,Open,Darke,N/A,jim_gray@darke.k12.oh.us,"2011 Trojan Ave, Arcanum, Ohio, 45304",(937) 692-5174,(937) 692-8865,N/A,N/A,N/A,N/A,N/A,N/A,Jason Stephan,JStephan22@gmail.com,(937) 572-1976,046631,Arcanum-Butler Local 
000927,Archbold Elementary School,Elementary School,K-4,Public School,School,Open,Fulton,N/A,arc_el_dl@nwoca.org,"500 Lafayette St, Archbold, Ohio, 43502",(419) 446-2727,(419) 446-4627,N/A,N/A,N/A,N/A,N/A,N/A,DOROTHY LAMBERT,dlambert@archboldschools.org,(419) 446-2727,047043,Archbold-Area Local
000935,Archbold High School,High School,9-12,Public School,School,Open,Fulton,N/A,N/A,"600 Lafayette St, Archbold, Ohio, 43502",(419) 445-5579,(419) 445-8536,N/A,N/A,N/A,N/A,N/A,N/A,Timothy Meister,tmeister@fcanywhere.net,(419) 267-2210,047043,Archbold-Area Local
000943,First Step Preschool and Daycare,Ungraded,P,Public School,School,Open,Cuyahoga,N/A,massiminod@parmacityschools.org,"7700 Malibu Dr, Parma, Ohio, 44130",(440) 885-8645,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dana Massimino,massiminod@parmacityschools.org,(440) 885-8645,044636,Parma City
000943,First Step Preschool and Daycare,Prekindergarten Associate Certification Institution,P,Public School,School,Open,Cuyahoga,N/A,massiminod@parmacityschools.org,"7700 Malibu Dr, Parma, Ohio, 44130",(440) 885-8645,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dana Massimino,massiminod@parmacityschools.org,(440) 885-8645,044636,Parma City
000950,Newton Falls Elementary School,Elementary School,K-3,Public School,School,Open,Trumbull,N/A,howardd@nfschools.org,"909 Milton Blvd, Newton Falls, Ohio, 44444",(330) 872-5225,(330) 872-0228,N/A,N/A,N/A,N/A,N/A,N/A,Roland Purnell,purnellr@nfschools.org,(330) 872-5225,045567,Newton Falls Exempted Village
000968,Arlington Elementary School,Elementary School,K-8,Public School,School,Open,Lucas,N/A,mviers@tps.org,"707 Woodsdale Ave, Toledo, Ohio, 43609",(419) 671-2550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Melisa Viers,mviers@tps.org,(419) 671-2550,044909,Toledo City
000976,Arlington Local Elementary School,Elementary School,K-6,Public School,School,Open,Hancock,N/A,N/A,"336 S Main St, Arlington, Ohio, 45814",(419) 365-5121,(419) 365-1282,N/A,N/A,N/A,N/A,N/A,N/A,David Sprouse,N/A,(419) 957-5843,047423,Arlington Local
000992,Arlington Local High School,High School,7-12,Public School,School,Open,Hancock,N/A,N/A,"336 S Main St, Arlington, Ohio, 45814",(419) 365-5121,(419) 365-1282,N/A,N/A,N/A,N/A,N/A,N/A,Nathan Sorg,sorgn@arlingtonlocal.org,(419) 365-5122,047423,Arlington Local
001024,Arrowhead Primary Elementary School,Elementary School,K-4,Public School,School,Open,Summit,N/A,Roman.Capper@copley-Fairlawn.org,"1600 Raleigh Blvd, Copley, Ohio, 44321",(330) 664-4885,(330) 664-4927,N/A,N/A,N/A,N/A,N/A,N/A,Roman Capper,roman.capper@copley-fairlawn.org,(330) 388-7183,049981,Copley-Fairlawn City
001040,Artemus Ward,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,N/A,N/A,"4315 W 140th St, Cleveland, Ohio, 44135",(216) 838-6200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chris Myslenski,christopher.myslenski@clevelandmetroschools.org,(216) 650-4483,043786,Cleveland Municipal
001057,Arthur Road Elementary School,Elementary School,P,Public School,School,Open,Cuyahoga,N/A,N/A,"33425 Arthur Rd, Solon, Ohio, 44139",(440) 349-6210,(440) 349-8018,N/A,N/A,N/A,N/A,N/A,N/A,Carla Rodenbucher,crodenbucher@solonboe.org,(440) 349-6210,046607,Solon City
001073,Asbury Elementary School,Elementary School,K-5,Public School,School,Open,Franklin,N/A,N/A,"5127 Harbor Blvd, Columbus, Ohio, 43232",(614) 833-2000,(614) 833-2004,N/A,N/A,N/A,N/A,N/A,N/A,Staci Peters,staci.peters@gocruisers.org,(614) 940-7922,046979,Groveport Madison Local
001081,Ashland High School,High School,9-12,Public School,School,Open,Ashland,N/A,miriley@ashlandcityschools.org,"1440 King Rd, Ashland, Ohio, 44805",(419) 289-7968,(419) 289-8218,N/A,N/A,N/A,N/A,N/A,N/A,Thomas Marquette,tomarque@ashlandcityschools.org,(419) 289-0881,043505,Ashland City
001099,Ashland Middle School,Middle School,6-8,Public School,School,Open,Ashland,N/A,mawhite@ashlandcityschools.org,"1520 King Rd, Ashland, Ohio, 44805",(419) 289-7966,(419) 289-2303,N/A,N/A,N/A,N/A,N/A,N/A,Matthew White,mawhite@ashlandcityschools.org,N/A,043505,Ashland City
001107,Buckeye Valley East Elementary School,Elementary School,"K-4,P",Public School,School,Open,Delaware,N/A,kkaracson@mybvs.org,"522 E High St, Ashley, Ohio, 43003",(740) 363-2253,(740) 747-3510,N/A,N/A,N/A,N/A,N/A,N/A,Kathryn Karacson,katiekaracson@gmail.com,(740) 747-2266,046755,Buckeye Valley Local
001123,Lakeside High School,High School,9-12,Public School,School,Open,Ashtabula,N/A,donald.rapose@aacs.net,"6600 Sanborn Rd, Ashtabula, Ohio, 44004",(440) 993-2522,(440) 993-2480,N/A,N/A,N/A,N/A,N/A,N/A,Donald Rapose,donald.rapose@aacs.net,(440) 964-0029,043513,Ashtabula Area City
001131,Ashville Elementary School,Elementary School,K-5,Public School,School,Open,Pickaway,N/A,gweiler@tvsd.us,"90 Walnut St, Ashville, Ohio, 43103",(740) 983-5000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gretchen Weiler,gweiler@tvsd.us,(740) 983-3158,049098,Teays Valley Local
001149,Athens High School,High School,9-12,Public School,School,Open,Athens,N/A,dhanning@athenscsd.org,"1 High School Rd, The Plains, Ohio, 45780",(740) 797-4521,(740) 797-1421,N/A,N/A,N/A,N/A,N/A,N/A,David Hanning,dhanning@athenscsd.org,(740) 797-4521,043521,Athens City
001172,Atkinson Elementary School,Elementary School,K-5,Public School,School,Open,Sandusky,N/A,wardc@fremontschools.net,"1100 Delaware Ave, Fremont, Ohio, 43420",(419) 332-5361,(419) 334-6749,N/A,N/A,N/A,N/A,N/A,N/A,Christopher Ward,wardc@fremontschools.net,(419) 332-5361,044016,Fremont City
001180,Seneca East Elementary,Elementary School,K-5,Public School,School,Open,Seneca,N/A,N/A,"13343 E US Highway 224, Attica, Ohio, 44807",(419) 426-3344,(419) 426-5400,N/A,N/A,N/A,N/A,N/A,N/A,Bradley Powers,N/A,(419) 569-8050,049684,Seneca East Local
001198,Seneca East High School,High School,9-12,Public School,School,Open,Seneca,N/A,N/A,"13343 E US Highway 224, Attica, Ohio, 44807",(419) 426-3312,(419) 426-5400,N/A,N/A,N/A,N/A,N/A,N/A,Don Vogt,dvogt@se-tigers.com,(740) 260-3393,049684,Seneca East Local
001206,Waterloo Elementary School,Elementary School,K-5,Public School,School,Open,Portage,N/A,N/A,"1464 Industry Rd, Atwater, Ohio, 44201",(330) 947-2153,(330) 947-3331,N/A,N/A,N/A,N/A,N/A,N/A,Aaron Walker,awalker@viking.portage.k12.oh.us,(330) 428-2090,049247,Waterloo Local
001222,Auburn Elementary School,Elementary School,K-4,Public School,School,Open,Richland,N/A,N/A,"109 Auburn Ave, Shelby, Ohio, 44875",(419) 342-5456,(419) 342-3023,N/A,N/A,N/A,N/A,N/A,N/A,Kelly Kuhn,kuhn.kelly@shelbyk12.org,(419) 342-6291,044776,Shelby City
001230,Timmons Elementary School,Elementary School,"K-3,P",Public School,School,Open,Geauga,N/A,N/A,"9595 E Washington St, Chagrin Falls, Ohio, 44023",(440) 543-9380,(440) 543-9163,N/A,N/A,N/A,N/A,N/A,N/A,David Rogaliner,dave.rogaliner@kenstonapps.org,(440) 223-3114,047191,Kenston Local
001255,Oakwood Elementary School,Elementary School,"K-6,P",Public School,School,Open,Paulding,N/A,N/A,"309 N 1st St, Oakwood, Ohio, 45873",(419) 594-3346,(419) 594-3929,N/A,N/A,N/A,N/A,N/A,N/A,Jennifer Manz,j_manz@pauldingschools.org,(419) 594-3346,045575,Paulding Exempted Village
001271,Augusta Elementary School,Elementary School,K-5,Public School,School,Open,Carroll,N/A,N/A,"3117 Aurora Rd NE, Carrollton, Ohio, 44615",(330) 627-2442,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Darin Abel,darin.abel@carrolltonschools.org,N/A,045278,Carrollton Exempted Village
001297,Aurora High School,High School,9-12,Public School,School,Open,Portage,N/A,N/A,"109 W Pioneer Trl, Aurora, Ohio, 44202",(330) 562-3501,(330) 954-2810,N/A,N/A,N/A,N/A,N/A,N/A,Paul Milcetich,pmilcetich@aurora-schools.org,(330) 954-2115,049171,Aurora City
001313,Craddock Elementary School,Elementary School,1-2,Public School,School,Open,Portage,N/A,jtroman@aurora-schools.org,"105 Hurd Rd, Aurora, Ohio, 44202",(330) 562-3175,(330) 954-2087,N/A,N/A,N/A,N/A,N/A,N/A,Julie Troman,jtroman@aurora-schools.org,(330) 671-1690,049171,Aurora City
001321,Austinburg Elementary School,Elementary School,"K-5,P",Public School,School,Open,Ashtabula,N/A,N/A,"3030 State Route 307, Austinburg, Ohio, 44010",(440) 466-4831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kaye Haskins,kaye.haskins@neomin.org,(440) 466-4831,044057,Geneva Area City
001339,Austintown Middle School,Middle School,6-8,Public School,School,Open,Mahoning,N/A,N/A,"800 S Raccoon Rd, Youngstown, Ohio, 44515",(330) 797-3900,(330) 797-3965,N/A,N/A,N/A,N/A,N/A,N/A,Benjamin Baldner,bbaldner@austintownschools.org,(814) 571-4229,048298,Austintown Local Schools
001347,Avery Elementary School,Elementary School,K-5,Public School,School,Open,Franklin,N/A,kevin_landon@hboe.org,"4388 Avery Rd, Hilliard, Ohio, 43026",(614) 921-5100,(614) 921-5101,N/A,N/A,N/A,N/A,N/A,N/A,Kevin Landon,kevin_landon@hboe.org,(614) 327-7770,047019,Hilliard City
001354,Avon East Elementary School,Elementary School,1-2,Public School,School,Open,Lorain,N/A,N/A,"3100 Nagle Rd, Avon, Ohio, 44011",(440) 937-6015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Krista Dirocco,koteckik@avoneagles.org,(440) 937-6015,048116,Avon Local
001362,Avon Early Learning Center,Elementary School,"K,P",Public School,School,Open,Lorain,N/A,N/A,"3075 Stoney Ridge Rd, Avon, Ohio, 44011",(440) 934-5124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Colleen Mudore,mudorec@avoneagles.org,(440) 552-4274,048116,Avon Local
